Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,416.80","1.32%","1,401.00","1,93,35,561","19,17,280.70","20.26","5.40","1,551.00","1,114.85","0.21%","-4.04%","4.45%","29.58%","43.42%","2.27","0.39%","8.54%","8.71%","101.61","1,385.00","1,348.93","63.04","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","1,002.55","0.82%","993.95","2,52,10,511","15,39,951.70","21.00","13.73","1,018.85","812.15","3.73%","0.92%","19.84%","38.61%","66.60%","2.95","1.09%","13.93%","6.38%","89.49","973.03","934.67","70.52","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","2,012.00","2.27%","1,973.60","67,43,801","11,21,832.20","28.55","23.52","2,045.80","1,511.00","3.64%","4.25%","18.27%","162.66%","415.41%","10.17","0.77%","8.11%","18.01%","21.42","1,914.27","1,811.96","70.42","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,962.20","-0.29%","2,970.00","43,74,683","10,74,825.30","21.57","30.42","4,494.90","2,866.60","-6.64%","-7.70%","-27.91%","-4.81%","9.24%","10.14","4.26%","50.48%","62.02%","131.54","3,045.31","3,456.47","43.02","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,436.60","1.36%","1,412.00","1,70,37,215","10,26,188.70","18.15","13.73","1,500.00","1,186.00","1.23%","1.26%","16.68%","62.29%","244.43%","3.31","0.76%","16.67%","6.13%","64.38","1,404.21","1,366.26","68.34","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","889.15","0.25%","887.50","85,11,854","8,18,709.60","9.94","9.81","891.85","680.00","3.73%","7.26%","9.63%","63.55%","335.86%","1.58","1.73%","15.83%","5.57%","81.94","839.25","792.57","67.14","78.00%","91.00%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","1,070.10","0.41%","1,056.10","57,61,670","6,63,161.00","37.76","24.21","1,081.10","645.10","6.21%","15.90%","55.10%","45.49%","227.53%","6.89","0.52%","18.84%","10.98%","241.14","957.38","890.08","71.32","76.00%","89.48%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,441.10","-2.07%","1,454.90","1,69,59,378","6,11,318.80","21.26","30.42","2,006.45","1,307.00","-5.34%","-8.99%","-26.78%","-3.28%","28.00%","6.30","2.98%","29.67%","35.85%","64.20","1,478.97","1,611.04","39.83","78.00%","90.34%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,603.70","1.65%","2,565.50","20,50,690","6,01,847.80","56.53","52.36","2,782.00","2,136.00","1.32%","3.74%","-4.93%","0.51%","19.56%","12.39","2.04%","19.99%","23.38%","43.99","2,572.84","2,402.43","60.11","78.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","885.50","-0.97%","894.15","5,61,015","5,65,549.70","11.50","24.21","1,007.80","715.30","0.02%","-4.61%","-5.10%","45.46%","1.17%","4.40","1.35%","49.36%","0.87%","66.13","889.44","860.16","44.35","76.00%","80.00%"
